Station;Latitude;Longitude;depth;si;no3;po4;T;so;O2;aou;o2s
64_DCM;-29.5019;37.9889;60;3.686075211;0.189709127;0.181055173;21.61128998;;4.993725777;0.116685577;97.70240021
65_SUR;-35.1728;26.2868;5;4.674983978;2.385184288;0.405158043;19.72850037;35.45175908;5.171167374;0.051753119;99.07685852
65_DCM;-35.1728;26.2868;30;4.44801569;2.990437746;0.442222387;19.71940041;;5.115643024;0.087433927;98.4030838
66_SUR;-34.9449;17.9189;5;6.893478394;3.372313499;0.651183009;16.23189926;35.43631457;5.731729984;-0.153187498;102.7598648
66_DCM;-34.9449;17.9189;30;7.251845837;4.402779579;0.650359809;15.96479034;;5.631995678;-0.029373737;100.649437
67_SUR;-32.2401;17.7103;5;4.098195553;3.405024529;0.688681602;15.53289986;35.37932472;6.016133308;-0.241287127;103.9897308
67_DCM;-32.2401;17.7103;50;9.079462051;9.487646103;1.062652946;14.32419968;;5.124403477;0.787287295;86.97055054
68_SUR;-31.0266;4.665;5;4.421644688;0.230036318;0.50466907;16.71690941;35.60081642;5.674059391;-0.198063672;103.6106491
68_DCM;-31.0266;4.665;40;4.728992462;1.287541509;0.557431221;16.58469963;;5.638567924;-0.130589619;102.434227
69_SUR;-24.165;2.6441;5;4.525107861;2.085798979;0.363611251;18.33469009;35.77872449;5.534408092;-0.087800853;101.6518021
69_DCM;-24.165;2.6441;50;5.280182838;0.623920679;0.353450298;18.15869141;;5.163315296;0.040276036;99.35713959
70_SUR;-20.4091;-3.1759;5;1.767386198;0.363336086;0.26388976;19.62788963;36.23951594;5.233239174;0.006084837;99.82910156
70_DCM;-20.4091;-3.1759;80;3.086088419;1.428718328;0.192249104;19.5720005;;5.030942917;0.068381198;98.77868652
71_SUR;-9.3;-9.5587;5;1.535033345;0.103679642;0.259430408;23.49959946;36.30410856;4.913808823;-0.082465187;101.72612
71_DCM;-9.3;-9.5587;80;3.908579588;4.509418011;0.371156424;21.93019104;;4.512159824;0.410106748;90.85346985
72_SUR;-8.7789;-17.9099;5;1.511344194;0.212936655;0.121102586;24.52350044;36.29064857;5.030855179;-0.117028572;102.4821854
72_DCM;-8.7789;-17.9099;100;2.635543585;2.562449932;0.484272957;21.70340919;;4.490815639;0.842679441;84.21438599
73_SUR;-12.5103;-24.4597;5;2.259218216;0.77504921;0.082624815;25.12718964;36.73184298;4.647868156;-0.08646024;101.8667603
73_DCM;-12.5103;-24.4597;150;2.931950092;3.585479259;0.452912062;20.25860023;;4.278197289;0.973876059;80.86362457
74_SUR;-16.0961;-28.9909;5;1.844570875;0.148407906;0.12126711;24.61839104;37.07014423;4.420108318;-0.005046494;100.1750946
74_DCM;-16.0961;-28.9909;170;2.205458641;1.044059277;0.358766913;21.2536087;;4.30053854;0.714045405;86.36546326
75_SUR;-18.0063;-32.7167;5;1.923381448;0.028434029;0.079254091;24.59249115;37.11554101;4.641290188;-0.023005538;100.5569687
75_DCM;-18.0063;-32.7167;160;1.959456325;0.363561779;0.123714507;22.70290947;;4.695007324;0.158950001;96.48016357
76_SUR;-20.9354;-35.1803;5;2.641365528;0.288455814;0.136135191;24.24199104;37.05625971;4.73726511;-0.011236314;100.3082428
76_DCM;-20.9354;-35.1803;130;1.808820009;0.491517901;0.226306528;22.50149918;;4.681624889;0.360491008;92.98931122
77_SUR;-24.5962;-43.8197;5;4.461024761;2.10306859;0.203597009;23.31599045;36.66288141;4.967190266;-0.049694441;101.0350723
77_DCM;-24.5962;-43.8197;100;6.963792324;4.852287769;0.436392397;20.70029068;;4.784906387;0.567629993;89.63716888
78_SUR;-30.1367;-43.2899;5;2.466053724;0.140647143;0.033548467;20.26360893;36.3037189;5.346426964;-0.316829771;106.4690628
78_DCM;-30.1367;-43.2899;120;2.388514042;1.709007859;0.17402561;17.8678093;;5.264336109;0.095763966;98.3316803
80_SUR;-40.6511;-52.182;5;3.071995258;2.807729244;0.42576766;14.26570988;34.66820034;6.118234634;-0.251936108;104.3248596
80_DCM;-40.6511;-52.182;85;3.200816631;7.958614349;0.84688437;10.89750957;;5.826867104;0.423073173;92.30620575
81_SUR;-44.5342;-52.455;5;1.815073967;3.258773327;0.526745379;13.44270992;34.34152636;6.338513374;-0.404150784;106.8438873
81_DCM;-44.5342;-52.455;35;2.27914238;5.35895443;0.720008612;12.6019907;;6.32332325;-0.291946709;104.7534485
82_SUR;-47.1863;-58.2902;5;2.136832714;8.451025009;0.773569882;10.59150982;33.96089836;7.071390629;-0.675242186;110.6304398
82_DCM;-47.1863;-58.2902;15;2.13980341;9.712146759;0.802299559;9.557499886;33.96089836;7.061432838;-0.634570241;109.8852158
83_SUR;-54.3739;-65.1342;5;6.195585158;12.93296162;1.017256065;6.250206527;33.67496406;7.275989368;-0.337898596;104.9778041
84_SUR;-60.2287;-60.6476;5;29.64228821;23.31657028;1.713814259;1.785210013;33.89863154;7.810676575;-0.188057587;102.4366302
84_DCM;-60.2287;-60.6476;70;37.53351212;26.72514343;1.902920008;0.052890003;;7.814821243;0.279880643;96.55477905
85_SUR;-62.0385;-49.529;5;66.188797;24.22704315;1.518479228;-0.24831;33.79385734;8.038194656;0.110944204;98.63430023
85_DCM;-62.0385;-49.529;90;84.5306778;30.7823143;2.093696117;-1.220209956;;6.985246181;1.36237824;83.58782959
86_SUR;-64.3595;-53.0063;5;70.49017334;23.06807518;1.511502862;-0.895009995;33.66029323;8.265462875;-0.110223085;101.3539963
86_DCM;-64.3595;-53.0063;35;74.88441467;27.04919243;1.876042962;-1.215610027;;7.645587921;0.61363399;92.6266098
87_SUR;-63.8768;-56.0916;5;58.65613098;23.35308626;1.604723433;0.145099034;33.68343504;8.044998955;0.003972117;100.0293762
88_SUR;-63.4015;-56.7938;5;58.65613098;23.35308626;1.604723433;0.145099034;33.68343504;8.044998955;0.003972117;100.0293762
